Entry	Entry name	Status	Protein names	Gene names	Organism	Length	yourlist:M2017100483C3DD8CE55183C76102DC5D3A26728BEC41F24
P0A8B1	RIMP_SHIFL	reviewed	Ribosome maturation factor RimP	rimP SF3211 S3428	Shigella flexneri	152	P03843
P0A8B0	RIMP_ECO57	reviewed	Ribosome maturation factor RimP	rimP Z4531 ECs4051	Escherichia coli O157:H7	152	P03843
P0A8A8	RIMP_ECOLI	reviewed	Ribosome maturation factor RimP	rimP yhbC b3170 JW5533	Escherichia coli (strain K12)	150	P03843
P0A8A9	RIMP_ECOL6	reviewed	Ribosome maturation factor RimP	rimP c3927	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	152	P03843
P21165	PEPQ_ECOLI	reviewed	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Proline dipeptidase) (Prolidase)	pepQ b3847 JW3823	Escherichia coli (strain K12)	443	P21165
P0A904	BAMC_SHIFL	reviewed	Outer membrane protein assembly factor BamC	bamC nlpB SF2520 S2670	Shigella flexneri	344	P21167
P0A903	BAMC_ECOLI	reviewed	Outer membrane protein assembly factor BamC	bamC dapX nlpB b2477 JW2462	Escherichia coli (strain K12)	344	P21167
P0AA46	RSUA_SHIFL	reviewed	Ribosomal small subunit pseudouridine synthase A (EC 5.4.99.19) (16S pseudouridylate 516 synthase) (16S rRNA pseudouridine(516) synthase) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A)	rsuA SF2270 S2399	Shigella flexneri	231	P33918
P0AA44	RSUA_ECOL6	reviewed	Ribosomal small subunit pseudouridine synthase A (EC 5.4.99.19) (16S pseudouridylate 516 synthase) (16S rRNA pseudouridine(516) synthase) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A)	rsuA c2720	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	231	P33918
P0AA45	RSUA_ECO57	reviewed	Ribosomal small subunit pseudouridine synthase A (EC 5.4.99.19) (16S pseudouridylate 516 synthase) (16S rRNA pseudouridine(516) synthase) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A)	rsuA Z3442 ECs3075	Escherichia coli O157:H7	231	P33918
P0AA43	RSUA_ECOLI	reviewed	Ribosomal small subunit pseudouridine synthase A (EC 5.4.99.19) (16S pseudouridylate 516 synthase) (16S rRNA pseudouridine(516) synthase) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A)	rsuA yejD b2183 JW2171	Escherichia coli (strain K12)	231	P33918
P17443	MURG_ECOLI	reviewed	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG b0090 JW0088	Escherichia coli (strain K12)	355	P17443
Q46868	YQIC_ECOLI	reviewed	Uncharacterized protein YqiC	yqiC b3042 JW5505	Escherichia coli (strain K12)	96	Q46868
P0ACE9	HINT_SHIFL	reviewed	Purine nucleoside phosphoramidase (EC 3.9.1.-) (Histidine triad nucleotide binding protein HinT) (HIT protein)	hinT SF1107 S1187	Shigella flexneri	119	P36950
P0ACE7	HINT_ECOLI	reviewed	Purine nucleoside phosphoramidase (EC 3.9.1.-) (Histidine triad nucleotide binding protein HinT) (HIT protein)	hinT ycfF b1103 JW1089	Escherichia coli (strain K12)	119	P36950
P0ACE8	HINT_ECO57	reviewed	Purine nucleoside phosphoramidase (EC 3.9.1.-) (Histidine triad nucleotide binding protein HinT) (HIT protein)	hinT Z1742 ECs1481	Escherichia coli O157:H7	119	P36950
P0A7E3	PYRE_ECOLI	reviewed	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE b3642 JW3617	Escherichia coli (strain K12)	213	P00495
P0A7E4	PYRE_ECOL6	reviewed	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE c4466	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	213	P00495
P0A838	SUCC_ECO57	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Z0882 ECs0753	Escherichia coli O157:H7	388	P07460
P0A839	SUCC_SHIFL	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SF0569 S0582	Shigella flexneri	388	P07460
P0A836	SUCC_ECOLI	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC b0728 JW0717	Escherichia coli (strain K12)	388	P07460
P0A837	SUCC_ECOL6	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC c0805	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	388	P07460
P0A7L2	RL1_ECO57	reviewed	50S ribosomal protein L1	rplA Z5557 ECs4907	Escherichia coli O157:H7	234	P02384
P0A7L0	RL1_ECOLI	reviewed	50S ribosomal protein L1 (Large ribosomal subunit protein uL1)	rplA b3984 JW3947	Escherichia coli (strain K12)	234	P02384
P0A7L1	RL1_ECOL6	reviewed	50S ribosomal protein L1	rplA c4940	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	234	P02384
P0A975	CSPE_SHIFL	reviewed	Cold shock-like protein CspE (CSP-E)	cspE SF0657 S0680	Shigella flexneri	69	P36997
P0A973	CSPE_ECOL6	reviewed	Cold shock-like protein CspE (CSP-E)	cspE c0714	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	69	P36997
P0A974	CSPE_ECO57	reviewed	Cold shock-like protein CspE (CSP-E)	cspE Z0769 ECs0662	Escherichia coli O157:H7	69	P36997
P0A972	CSPE_ECOLI	reviewed	Cold shock-like protein CspE (CSP-E)	cspE gicA msmC b0623 JW0618	Escherichia coli (strain K12)	69	P36997
P18843	NADE_ECOLI	reviewed	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5) (Nicotinamide adenine dinucleotide synthetase) (NADS) (Nitrogen regulatory protein)	nadE efg ntrL b1740 JW1729	Escherichia coli (strain K12)	275	P18843
P25516	ACNA_ECOLI	reviewed	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein) (Stationary phase enzyme)	acnA acn b1276 JW1268	Escherichia coli (strain K12)	891	P25516
P39199	PRMB_ECOLI	reviewed	50S ribosomal protein L3 glutamine methyltransferase (L3 MTase) (EC 2.1.1.298) (N5-glutamine methyltransferase PrmB)	prmB yfcB b2330 JW5841	Escherichia coli (strain K12)	310	P39199
P0A7L8	RL27_ECOLI	reviewed	50S ribosomal protein L27 (Large ribosomal subunit protein bL27)	rpmA b3185 JW3152	Escherichia coli (strain K12)	85	P02427
P0A7L9	RL27_ECOL6	reviewed	50S ribosomal protein L27	rpmA c3942	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	85	P02427
P0A7M1	RL27_SHIFL	reviewed	50S ribosomal protein L27	rpmA SF3225 S3443	Shigella flexneri	85	P02427
P0A7M0	RL27_ECO57	reviewed	50S ribosomal protein L27	rpmA Z4547 ECs4064	Escherichia coli O157:H7	85	P02427
P0ACE5	HHA_ECO57	reviewed	Hemolysin expression-modulating protein Hha	hha Z0573 ECs0513	Escherichia coli O157:H7	72	P23870
P0ACE6	HHA_SHIFL	reviewed	Hemolysin expression-modulating protein Hha	hha SF0405 S0412	Shigella flexneri	72	P23870
P0ACE3	HHA_ECOLI	reviewed	Hemolysin expression-modulating protein Hha	hha b0460 JW0449	Escherichia coli (strain K12)	72	P23870
P0ACE4	HHA_ECOL6	reviewed	Hemolysin expression-modulating protein Hha	hha c0578	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	72	P23870
P0AG88	SECB_ECO57	reviewed	Protein-export protein SecB	secB Z5036 ECs4487	Escherichia coli O157:H7	155	P15040
P0AG89	SECB_SHIFL	reviewed	Protein-export protein SecB	secB SF3648 S4120	Shigella flexneri	155	P15040
P0AG86	SECB_ECOLI	reviewed	Protein-export protein SecB (Chaperone SecB)	secB b3609 JW3584	Escherichia coli (strain K12)	155	P15040
P0AG87	SECB_ECOL6	reviewed	Protein-export protein SecB	secB c4432	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	155	P15040
P0A807	RRF_ECO57	reviewed	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	frr Z0183 ECs0174	Escherichia coli O157:H7	185	P16174
P0A808	RRF_SHIFL	reviewed	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	frr SF0162 S0165	Shigella flexneri	185	P16174
P0A805	RRF_ECOLI	reviewed	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	frr rrf b0172 JW0167	Escherichia coli (strain K12)	185	P16174
P0A806	RRF_ECOL6	reviewed	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	frr c0208	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	185	P16174
P0A951	ATDA_ECOLI	reviewed	Spermidine N(1)-acetyltransferase (SAT) (EC 2.3.1.57) (Spermidine/spermine N(1)-acetyltransferase) (SSAT)	speG b1584 JW1576	Escherichia coli (strain K12)	186	P37354
P0A952	ATDA_ECO57	reviewed	Spermidine N(1)-acetyltransferase (SAT) (EC 2.3.1.57) (Spermidine/spermine N(1)-acetyltransferase) (SSAT)	speG Z2571 ECs2290	Escherichia coli O157:H7	186	P37354
P07014	SDHB_ECOLI	reviewed	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)	sdhB b0724 JW0714	Escherichia coli (strain K12)	238	P07014
P28861	FENR_ECOLI	reviewed	Ferredoxin--NADP reductase (FNR) (EC 1.18.1.2) (DA1) (Flavodoxin reductase) (FLDR) (FLXR) (Methyl viologen resistance protein A)	fpr mvrA b3924 JW3895	Escherichia coli (strain K12)	248	P28861
P0A7S1	RS11_ECO57	reviewed	30S ribosomal protein S11	rpsK Z4667 ECs4162	Escherichia coli O157:H7	129	P02366
P0A7S2	RS11_SHIFL	reviewed	30S ribosomal protein S11	rpsK SF3329 S4433	Shigella flexneri	129	P02366
P0A7S0	RS11_ECOL6	reviewed	30S ribosomal protein S11	rpsK c4058	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	129	P02366
P0A7R9	RS11_ECOLI	reviewed	30S ribosomal protein S11 (Small ribosomal subunit protein uS11)	rpsK b3297 JW3259	Escherichia coli (strain K12)	129	P02366
P45523	FKBA_ECOLI	reviewed	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA (PPIase) (EC 5.2.1.8) (Rotamase)	fkpA yzzS b3347 JW3309	Escherichia coli (strain K12)	270	P45523
P0A910	OMPA_ECOLI	reviewed	Outer membrane protein A (Outer membrane protein II*)	ompA con tolG tut b0957 JW0940	Escherichia coli (strain K12)	346	P02934
P0A911	OMPA_ECO57	reviewed	Outer membrane protein A (Outer membrane protein II*)	ompA Z1307 ECs1041	Escherichia coli O157:H7	346	P02934
P0AE00	YAJC_SHIFL	reviewed	Sec translocon accessory complex subunit YajC	yajC SF0344 S0352	Shigella flexneri	110	P19677
P0ADZ9	YAJC_ECO57	reviewed	Sec translocon accessory complex subunit YajC	yajC Z0506 ECs0458	Escherichia coli O157:H7	110	P19677
P0ADZ7	YAJC_ECOLI	reviewed	Sec translocon accessory complex subunit YajC	yajC b0407 JW0397	Escherichia coli (strain K12)	110	P19677
P0ADZ8	YAJC_ECOL6	reviewed	Sec translocon accessory complex subunit YajC	yajC c0517	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	110	P19677
P0A7V6	RS3_SALTY	reviewed	30S ribosomal protein S3	rpsC STM3434	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	233	P02352
P0A7V7	RS3_SALTI	reviewed	30S ribosomal protein S3	rpsC STY4364 t4071	Salmonella typhi	233	P02352
P0A7V4	RS3_ECOL6	reviewed	30S ribosomal protein S3	rpsC c4080	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	233	P02352
P0A7V5	RS3_ECO57	reviewed	30S ribosomal protein S3	rpsC Z4685 ECs4179	Escherichia coli O157:H7	233	P02352
P0A7V3	RS3_ECOLI	reviewed	30S ribosomal protein S3 (Small ribosomal subunit protein uS3)	rpsC b3314 JW3276	Escherichia coli (strain K12)	233	P02352
P75968	YMFE_ECOLI	reviewed	Uncharacterized protein YmfE	ymfE b1138 JW5166	Escherichia coli (strain K12)	234	P75968
P06716	CEIA_ECOLX	reviewed	Colicin-Ia	cia	Escherichia coli	626	P06716
P0A6X9	IHFA_ECO57	reviewed	Integration host factor subunit alpha (IHF-alpha)	ihfA himA Z2741 ECs2419	Escherichia coli O157:H7	99	P06984
P0A6X7	IHFA_ECOLI	reviewed	Integration host factor subunit alpha (IHF-alpha)	ihfA hid himA b1712 JW1702	Escherichia coli (strain K12)	99	P06984
P0A6X8	IHFA_ECOL6	reviewed	Integration host factor subunit alpha (IHF-alpha)	ihfA himA c2109	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	99	P06984
P0A6Y0	IHFA_SHIFL	reviewed	Integration host factor subunit alpha (IHF-alpha)	ihfA himA SF1519 S1636	Shigella flexneri	99	P06984
P0A9D8	DAPD_ECOLI	reviewed	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	dapD b0166 JW0161	Escherichia coli (strain K12)	274	P03948
P0A9D9	DAPD_SHIFL	reviewed	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	dapD SF0156 S0159	Shigella flexneri	274	P03948
P0A9B4	G3P1_ECO57	reviewed	Glyceraldehyde-3-phosphate dehydrogenase A (GAPDH-A) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	gapA Z2818 ECs2488	Escherichia coli O157:H7	331	P06977
P0A9B5	G3P_SHIFL	reviewed	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	gapA SF1444 S1559	Shigella flexneri	331	P06977
P0A9B2	G3P1_ECOLI	reviewed	Glyceraldehyde-3-phosphate dehydrogenase A (GAPDH-A) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	gapA b1779 JW1768	Escherichia coli (strain K12)	331	P06977
P0A9B3	G3P_ECOL6	reviewed	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	gapA c2184	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	331	P06977
P0AE51	YTFP_SHIFL	reviewed	Gamma-glutamylcyclotransferase family protein YtfP	ytfP SF4265 S4529	Shigella flexneri	113	P39323
P0AE50	YTFP_ECO57	reviewed	Gamma-glutamylcyclotransferase family protein YtfP	ytfP Z5833 ECs5200	Escherichia coli O157:H7	113	P39323
P0AE48	YTFP_ECOLI	reviewed	Gamma-glutamylcyclotransferase family protein YtfP	ytfP b4222 JW4181	Escherichia coli (strain K12)	113	P39323
P0AE49	YTFP_ECOL6	reviewed	Gamma-glutamylcyclotransferase family protein YtfP	ytfP c5320	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	113	P39323
P0A7M9	RL31_ECOLI	reviewed	50S ribosomal protein L31 (Large ribosomal subunit protein bL31-A)	rpmE b3936 JW3907	Escherichia coli (strain K12)	70	P02432
P0A7N0	RL31_ECO57	reviewed	50S ribosomal protein L31	rpmE Z5484 ECs4863	Escherichia coli O157:H7	70	P02432
P05055	PNP_ECOLI	reviewed	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp b3164 JW5851	Escherichia coli (strain K12)	711	P05055
P03817	MIOC_ECOLI	reviewed	Protein MioC	mioC yieB b3742 JW3720	Escherichia coli (strain K12)	147	P03817
P0AGG7	THIO2_SHIFL	reviewed	Thioredoxin 2 (Trx-2) (EC 1.8.1.8) (Protein-disulfide reductase)	trxC SF2644 S2817	Shigella flexneri	139	P33636
P0AGG5	THIO2_ECOL6	reviewed	Thioredoxin 2 (Trx-2) (EC 1.8.1.8) (Protein-disulfide reductase)	trxC c3107	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	139	P33636
P0AGG6	THIO2_ECO57	reviewed	Thioredoxin 2 (Trx-2) (EC 1.8.1.8) (Protein-disulfide reductase)	trxC Z3867 ECs3448	Escherichia coli O157:H7	139	P33636
P0AGG4	THIO2_ECOLI	reviewed	Thioredoxin 2 (Trx-2) (EC 1.8.1.8) (Protein-disulfide reductase)	trxC yfiG b2582 JW2566	Escherichia coli (strain K12)	139	P33636
P0A6F1	CARA_ECOLI	reviewed	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA pyrA b0032 JW0030	Escherichia coli (strain K12)	382	P00907
P0A6F2	CARA_ECO57	reviewed	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA pyrA Z0037 ECs0035	Escherichia coli O157:H7	382	P00907
P0A986	CSPI_ECOLI	reviewed	Cold shock-like protein CspI (CPS-I)	cspI cspJ b1552 JW1544	Escherichia coli (strain K12)	70	P77605
P0A987	CSPI_ECOL6	reviewed	Cold shock-like protein CspI (CPS-I)	cspI c3177	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	70	P77605
P06999	PFKB_ECOLI	reviewed	ATP-dependent 6-phosphofructokinase isozyme 2 (ATP-PFK 2) (Phosphofructokinase 2) (EC 2.7.1.11) (6-phosphofructokinase isozyme II) (Phosphohexokinase 2)	pfkB b1723 JW5280	Escherichia coli (strain K12)	309	P06999
P69229	BAER_ECOL6	reviewed	Transcriptional regulatory protein BaeR	baeR c2605	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	240	P30846
P69228	BAER_ECOLI	reviewed	Transcriptional regulatory protein BaeR	baeR b2079 JW2064	Escherichia coli (strain K12)	240	P30846
P0AGB8	RPOE_ECO57	reviewed	ECF RNA polymerase sigma-E factor (RNA polymerase sigma-E factor) (Sigma-24)	rpoE Z3855 ECs3439	Escherichia coli O157:H7	191	P34086
P0AGB9	RPOE_SHIFL	reviewed	ECF RNA polymerase sigma-E factor (RNA polymerase sigma-E factor) (Sigma-24)	rpoE SF2635 S2808	Shigella flexneri	191	P34086
P0AGB6	RPOE_ECOLI	reviewed	ECF RNA polymerase sigma-E factor (RNA polymerase sigma-E factor) (Sigma-24)	rpoE sigE b2573 JW2557	Escherichia coli (strain K12)	191	P34086
P0AGB7	RPOE_ECOL6	reviewed	ECF RNA polymerase sigma-E factor (RNA polymerase sigma-E factor) (Sigma-24)	rpoE c3097	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	191	P34086
P22256	GABT_ECOLI	reviewed	4-aminobutyrate aminotransferase GabT (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (Glutamate:succinic semialdehyde transaminase) (L-AIBAT)	gabT b2662 JW2637	Escherichia coli (strain K12)	426	P22256
P0A6P1	EFTS_ECOLI	reviewed	Elongation factor Ts (EF-Ts) (Bacteriophage Q beta RNA-directed RNA polymerase subunit IV)	tsf b0170 JW0165	Escherichia coli (strain K12)	283	P02997
P0A6P2	EFTS_ECOL6	reviewed	Elongation factor Ts (EF-Ts)	tsf c0206	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	283	P02997
P0A6P3	EFTS_ECO57	reviewed	Elongation factor Ts (EF-Ts)	tsf Z0181 ECs0172	Escherichia coli O157:H7	283	P02997
P0A6P4	EFTS_SHIFL	reviewed	Elongation factor Ts (EF-Ts)	tsf SF0160 S0163	Shigella flexneri	283	P02997
P00893	ILVI_ECOLI	reviewed	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	ilvI b0077 JW0076	Escherichia coli (strain K12)	574	P00893
P0A8F3	UPP_SHIFL	reviewed	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp SF2542 S2691	Shigella flexneri	208	P25532
P0A8F1	UPP_ECOL6	reviewed	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp c3015	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	208	P25532
P0A8F2	UPP_ECO57	reviewed	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp Z3761 ECs3360	Escherichia coli O157:H7	208	P25532
P0A8F0	UPP_ECOLI	reviewed	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp uraP b2498 JW2483	Escherichia coli (strain K12)	208	P25532
P75949	NAGZ_ECOLI	reviewed	Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)	nagZ ycfO b1107 JW1093	Escherichia coli (strain K12)	341	P75949
P0AC15	DHPS_SHIFL	reviewed	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	folP SF3217 S3435	Shigella flexneri	282	P26282
P0AC13	DHPS_ECOLI	reviewed	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	folP dhpS b3177 JW3144	Escherichia coli (strain K12)	282	P26282
P0AC14	DHPS_ECOL6	reviewed	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	folP c3933	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	282	P26282
P69877	POTA_SHIFL	reviewed	Spermidine/putrescine import ATP-binding protein PotA (EC 3.6.3.31)	potA SF1128 S1208	Shigella flexneri	378	P23858
P69876	POTA_ECO57	reviewed	Spermidine/putrescine import ATP-binding protein PotA (EC 3.6.3.31)	potA Z1831 ECs1571	Escherichia coli O157:H7	378	P23858
P69875	POTA_ECOL6	reviewed	Spermidine/putrescine import ATP-binding protein PotA (EC 3.6.3.31)	potA c1477	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	378	P23858
P69874	POTA_ECOLI	reviewed	Spermidine/putrescine import ATP-binding protein PotA (EC 3.6.3.31)	potA b1126 JW1112	Escherichia coli (strain K12)	378	P23858
P21338	RNI_ECOLI	reviewed	Ribonuclease I (RNase I) (EC 3.1.27.6) (Enterobacter ribonuclease)	rna rnsA b0611 JW0603	Escherichia coli (strain K12)	268	P21338
P00959	SYM_ECOLI	reviewed	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG b2114 JW2101	Escherichia coli (strain K12)	677	P00959
P10902	NADB_ECOLI	reviewed	L-aspartate oxidase (LASPO) (EC 1.4.3.16) (Quinolinate synthase B)	nadB nicB b2574 JW2558	Escherichia coli (strain K12)	540	P10902
P0AA28	THIO_SALTY	reviewed	Thioredoxin 1 (Trx-1)	trxA STM3915 STMD1.75	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	109	P00274
P0AA29	THIO_SALTI	reviewed	Thioredoxin 1 (Trx-1)	trxA STY3639 t3381	Salmonella typhi	109	P00274
P0AA26	THIO_ECOL6	reviewed	Thioredoxin 1 (Trx-1)	trxA c4701	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	109	P00274
P0AA27	THIO_ECO57	reviewed	Thioredoxin 1 (Trx-1)	trxA Z5291 ECs4714	Escherichia coli O157:H7	109	P00274
P0AA25	THIO_ECOLI	reviewed	Thioredoxin 1 (Trx-1)	trxA fipA tsnC b3781 JW5856	Escherichia coli (strain K12)	109	P00274
P0AA30	THIO_SHIFL	reviewed	Thioredoxin 1 (Trx-1)	trxA SF3854 S3905	Shigella flexneri	109	P00274
P08204	ARAB_ECOLI	reviewed	Ribulokinase (EC 2.7.1.16)	araB b0063 JW0062	Escherichia coli (strain K12)	566	P08204
P05020	PYRC_ECOLI	reviewed	Dihydroorotase (DHOase) (EC 3.5.2.3)	pyrC b1062 JW1049	Escherichia coli (strain K12)	348	P05020
P61714	RISB_ECOLI	reviewed	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribE ribH ybaF b0415 JW0405	Escherichia coli (strain K12)	156	P61714
P0AEH6	ELAB_ECOL6	reviewed	Protein ElaB	elaB c2810	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	101	P52084
P0AEH7	ELAB_ECO57	reviewed	Protein ElaB	elaB Z3526 ECs3154	Escherichia coli O157:H7	101	P52084
P0AEH5	ELAB_ECOLI	reviewed	Protein ElaB	elaB yfbD b2266 JW2261	Escherichia coli (strain K12)	101	P52084
P46474	YHDP_ECOLI	reviewed	Uncharacterized protein YhdP	yhdP yhdQ yhdR b4472 JW5542	Escherichia coli (strain K12)	1266	P46474
P0A8A2	YEEN_ECOLI	reviewed	Probable transcriptional regulatory protein YeeN	yeeN b1983 JW1964	Escherichia coli (strain K12)	238	P76351
P0A8A3	YEEN_ECOL6	reviewed	Probable transcriptional regulatory protein YeeN	yeeN c2445	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	238	P76351
P07813	SYL_ECOLI	reviewed	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS b0642 JW0637	Escherichia coli (strain K12)	860	P07813
P0A6L9	HSCB_ECOLI	reviewed	Co-chaperone protein HscB (Hsc20)	hscB yfhE b2527 JW2511	Escherichia coli (strain K12)	171	P36540
P0A6M0	HSCB_ECOL6	reviewed	Co-chaperone protein HscB (Hsc20)	hscB c3052	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	171	P36540
P0A6M1	HSCB_ECO57	reviewed	Co-chaperone protein HscB (Hsc20)	hscB Z3794 ECs3393	Escherichia coli O157:H7	171	P36540
P0A720	KTHY_ECOLI	reviewed	Thymidylate kinase (EC 2.7.4.9) (Thymidine monophosphate kinase) (dTMP kinase) (TMPK)	tmk ycfG b1098 JW1084	Escherichia coli (strain K12)	213	P37345
P0A721	KTHY_SHIFL	reviewed	Thymidylate kinase (EC 2.7.4.9) (Thymidine monophosphate kinase) (dTMP kinase) (TMPK)	tmk SF1102 S1182	Shigella flexneri	213	P37345
P0AD58	ISPB_SHIFL	reviewed	Octaprenyl diphosphate synthase (EC 2.5.1.90) (All-trans-octaprenyl-diphosphate synthase) (Octaprenyl pyrophosphate synthase) (OPP synthase)	ispB SF3227 S3445	Shigella flexneri	323	P19641
